Stock,Quantity
MPWR,1
MRAM,1
MRVC,1
MRVL,1
MSCC,1
MSDI,1
MSFT,1
MSTR,1
MTBC,1
MTBCP,1
MTCH,1
MTLS,1
MTSI,1
MU,1
MXIM,1
MYSZ,1
NATI,1
NCIT,1
NETE,1
NH,1
NICE,1
NLST,1
NNDM,1
NTAP,1
NTCT,1
NTNX,1
NTWK,1
NUAN,1
NVDA,1
NVEC,1
NXPI,1
OCLR,1
OIIM,1
OMCL,1
ON,1
OSIS,1
OTEX,1
OTIV,1
PCTI,1
PCTY,1
PCYG,1
PDFS,1
PEGA,1
PERI,1
PFIN,1
PFPT,1
PLAB,1
PLUS,1
PLXS,1
PNTR,1
POWI,1
PRFT,1
PRGS,1
PRKR,1
PTC,1
PXLW,1
QADA,1
QADB,1
QBAK,1
QCOM,1
QLYS,1
QRHC,1
QRVO,1
QSII,1
QTNA,1
QUIK,1
QUMU,1
QUNR,1
RBCN,1
RCII,1
RCMT,1
RDCM,1
RESN,1
RMBS,1
RNWK,1
RP,1
RPD,1
RSYS,1
SABR,1
SANM,1
SATS,1
SCKT,1
SCON,1
SCSC,1
SCWX,1
SEAC,1
SEDG,1
SGMA,1
SGMS,1
SGOC,1
SHSP,1
SIFY,1
SIGM,1
SILC,1
SIMO,1
SINA,1
SLAB,1
SLP,1
SMCI,1
SMSI,1
SMTC,1
SMTX,1
SNCR,1
SNPS,1
SOFO,1
SOHU,1
SONS,1
SPCB,1
SPI,1
SPIL,1
SPLK,1
SPNS,1
SPRT,1
SPSC,1
SPWR,1
SRAX,1
SSNC,1
SSYS,1
STAF,1
STRM,1
STX,1
SWIR,1
SWKS,1
SYKE,1
SYMC,1
SYNA,1
SYNC,1
SYNT,1
SYRX,1
TACT,1
TCCO,1
TCX,1
TEAM,1
TECD,1
TISA,1
TLND,1
TNGO,1
TRIP,1
TRUE,1
TSEM,1
TSRA,1
TSRI,1
TTD,1
TTEC,1
TTMI,1
TTWO,1
TWIN,1
TWOU,1
TXN,1
TYPE,1
TZOO,1
UBNT,1
UCTT,1
ULTI,1
UPLD,1
UTEK,1
VDSI,1
VECO,1
VIAV,1
VISN,1
VNET,1
VRNS,1
VRNT,1
VRSK,1
VRSN,1
VRTU,1
VSAT,1
VUZI,1
WATT,1
WB,1
WDC,1
WEB,1
WIX,1
WPPGY,1
WSCI,1
WSTG,1
XLNX,1
XNET,1
XPLR,1
YHOO,1
YNDX,1
YY,1
ZBRA,1
ZIXI,1
ZNGA,1
